modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Remote,Primaryelementary school,-1,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,17,Developer fullstack,BashShell all shellsGoHTMLCSSJavaJavaScriptPythonTypeScript,DynamodbMongoDBPostgreSQL,Amazon Web Services AWSHerokuNetlify,ExpressNextjsNodejsReact,PyCharmVisual Studio CodeWebStorm,MacOSWindows,MacOS,17,Unknown
Remote,Masters degree MA MS MEng MBA etc,37,27,Developer Experience,C,Firebase Realtime Database,Google Cloud,ASPNET CORE,Visual Studio,Windows,Windows,-1,Unknown
Unknown,Some collegeuniversity study without earning a degree,4,-1,Developer fullstack,CCHTMLCSSJavaJavaScriptPHPPowerShellPythonSQLTypeScript,MongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSFlyioHeroku,jQueryNextjsNodejsReactWordPress,Unknown,Unknown,Unknown,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,9,-1,Developer fullstack,CHTMLCSSJavaScriptLuaPythonRust,PostgreSQLSQLite,Unknown,Unknown,Vim,Other please specify,Unknown,-1,Unknown
Unknown,Primaryelementary school,10,-1,Student,BashShell all shellsHTMLCSSJavaJavaScriptPythonRustSwiftTypeScript,Cloud Firestore,Cloudflare,Nodejs,NanoVimVisual Studio CodeXcode,iOSMacOSUbuntu,Unknown,-1,Unknown
Remote,Professional degree JD MD PhD EdD etc,7,7,Academic researcher,R,Unknown,Unknown,Unknown,RStudio,MacOS,MacOS,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,1,-1,Student,HTMLCSSJavaScriptTypeScript,Supabase,FirebaseNetlifyVercel,NextjsReact,Visual Studio Code,MacOS,MacOS,-1,Unknown
Inperson,Professional degree JD MD PhD EdD etc,20,-1,Academic researcher,Lua,Unknown,Unknown,Unknown,Visual Studio Code,MacOS,MacOS,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,11,Developer fullstack,HTMLCSSJavaScriptTypeScript,MongoDBMySQLPostgreSQLRedis,Amazon Web Services AWSDigital OceanFirebaseVercel,ExpressNextjsNodejsReact,Visual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,-1,Project manager,JavaScriptPythonRuby,ElasticsearchMongoDBPostgreSQLSQLite,Amazon Web Services AWSGoogle Cloud,NodejsReactRuby on Rails,Visual Studio Code,WindowsWindows Subsystem for Linux WSL,Windows,15,Healthcare
Inperson,Professional degree JD MD PhD EdD etc,30,25,Developer Advocate,CCCDelphiHTMLCSSJavaJavaScriptPowerShellSQLTypeScriptVBAVisual Basic Net,Microsoft AccessMicrosoft SQL ServerPostgreSQLSQLite,Cloudflare,ASPNETASPNET COREExpressjQueryNodejsReact,Android StudioIntelliJ IDEANetbeansNotepadSublime TextVisual StudioVisual Studio CodeWebStorm,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,20,12,Developer backend,BashShell all shellsCJavaScriptPowerShellVBA,MySQL,Amazon Web Services AWSGoogle CloudHetznerVMware,Unknown,NotepadVimVisual Studio Code,WindowsWindows Subsystem for Linux WSL,Windows Subsystem for Linux WSL,12,Software Development
Unknown,Bachelors degree BA BS BEng etc,20,-1,Other please specify,PHPPython,MariaDBMySQL,Unknown,CodeIgniter,Visual StudioVisual Studio Code,MacOSUbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,15,10,Unknown,CC,Oracle,Unknown,Unknown,EclipseNotepadVisual StudioVisual Studio Code,Red HatWindows,Red HatWindows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,31,27,Developer fullstack,CHTMLCSSJavaScriptPowerShellSQLTypeScriptVBAVisual Basic Net,Microsoft AccessMicrosoft SQL Server,Unknown,ASPNETASPNET COREBlazorjQuery,NotepadVisual StudioVisual Studio Code,Windows,Windows,29,BankingFinancial Services
Unknown,Primaryelementary school,7,-1,Student,RustTypeScript,Unknown,Unknown,Nodejs,Visual Studio Code,Arch,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,6,3,Developer frontend,HTMLCSSJavaScriptTypeScript,Unknown,Amazon Web Services AWSDigital OceanFirebaseHeroku,jQueryNextjsReact,VSCodium,Windows,Windows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,12,10,Developer fullstack,CHTMLCSSJavaScriptPHPPythonSQL,Microsoft AccessMicrosoft SQL ServerMySQLSQLite,Microsoft Azure,ASPNETASPNET COREBlazorjQuery,Visual StudioVisual Studio Code,Other LinuxbasedUbuntuWindows,Windows,12,Software Development
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,22,11,Database administrator,PowerShellSQL,Microsoft SQL Server,Microsoft Azure,Unknown,KateNanoNotepadVisual StudioVisual Studio Code,ArchChromeOSUbuntu,UbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,5,0,Other please specify,BashShell all shellsHTMLCSSPHPPythonSQLVBA,MySQL,Unknown,Django,EclipseJupyter NotebookJupyterLabPyCharmVisual Studio CodeXcode,iOSMacOSUbuntuWindows,UbuntuWindows,10,Other
Inperson,Masters degree MA MS MEng MBA etc,36,11,Developer fullstack,CHTMLCSSJavaPHPSQL,MariaDBMicrosoft SQL ServerMySQL,Unknown,ASPNETASPNET COREBlazor,EclipseNotepadVisual StudioVisual Studio Code,Other Linuxbased,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,25,18,Developer backend,BashShell all shellsCFJavaScriptPowerShellSQL,RedisSQLite,Amazon Web Services AWS,ASPNET CORE,RiderVisual Studio Code,MacOS,UbuntuWindows,18,BankingFinancial Services
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,44,37,Developer desktop or enterprise applications,HTMLCSSJavaScriptPHPPythonSQL,MySQLPostgreSQLSQLite,Amazon Web Services AWS,DjangojQueryWordPress,Vim,Windows,Other Linuxbased,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,15,Developer fullstack,ClojureJavaJavaScriptSQL,MariaDBMySQLOraclePostgreSQL,Google Cloud,Unknown,Emacs,Ubuntu,Debian,16,BankingFinancial Services
Hybrid some remote some inperson,Associate degree AA AS etc,24,20,Developer fullstack,CHTMLCSSJavaJavaScriptPythonSQLVBAVisual Basic Net,Microsoft AccessMySQLSnowflakeSQLite,Amazon Web Services AWSMicrosoft Azure,ASPNETASPNET COREjQuery,NotepadVisual StudioVisual Studio CodeXcode,AndroidiPadOSMacOSWindows,Ubuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,17,Developer fullstack,CHTMLCSSJavaScriptPythonScalaSQL,Microsoft SQL ServerPostgreSQLPresto,Amazon Web Services AWS,ASPNETNodejs,IntelliJ IDEAJupyter NotebookJupyterLabVisual StudioVisual Studio Code,MacOSWindows,MacOSWindows,17,Media  Advertising Services
Remote,Professional degree JD MD PhD EdD etc,7,6,Cloud infrastructure engineer,BashShell all shellsLuaTypeScript,DynamodbPostgreSQL,Amazon Web Services AWS,React,Neovim,MacOSOther please specify,MacOS,6,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,18,12,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPHPPowerShellPythonSQL,MariaDBMicrosoft SQL ServerMySQL,Amazon Web Services AWSHetznerMicrosoft AzureVMware,ASPNETASPNET COREjQueryNodejsWordPress,KateNanoNotepadVisual Studio,iOSiPadOSWindows,BSDDebianiOSiPadOSMacOSRed HatUbuntuWindows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,9,6,Developer fullstack,CHTMLCSSJavaScriptSQL,Microsoft SQL ServerMongoDBSQLite,Microsoft Azure,AngularJSASPNETASPNET COREjQueryNodejsReact,NotepadVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Unknown,Something else,3,2,Developer backend,GoHTMLCSSJavaJavaScriptPerlPythonTypeScript,Firebase Realtime DatabaseMicrosoft Access,Amazon Web Services AWS,AngularDjangoFlaskNodejsReact,Jupyter NotebookJupyterLabSublime TextVisual Studio Code,UbuntuWindows,MacOS,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,7,Other please specify,BashShell all shellsGoHTMLCSSPythonScalaSQL,Databricks SQLDuckDBPostgreSQL,Amazon Web Services AWSDatabricks,Unknown,DataGripIntelliJ IDEAPyCharmVim,WindowsWindows Subsystem for Linux WSL,MacOS,7,Insurance
Inperson,Associate degree AA AS etc,12,7,Developer backend,BashShell all shellsJavaScriptPHPSQLTypeScript,ElasticsearchMySQLRedis,Amazon Web Services AWS,CodeIgniterNestJSNodejs,NotepadVisual Studio Code,Windows,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,18,16,Developer backend,BashShell all shellsPython,CassandraElasticsearch,Unknown,FastAPI,IPythonVisual Studio Code,MacOS,MacOS,16,Internet Telecomm or Information Services
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,5,-1,Student,CHTMLCSSJavaJavaScriptMATLABPerlPowerShellPythonSQLTypeScript,Unknown,Microsoft AzureOracle Cloud Infrastructure OCIPythonAnywhere,DjangoFastAPIjQueryNextjsNodejsReact,IPythonVimVisual Studio Code,AndroidUbuntuWindows,Windows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,10,6,Developer fullstack,BashShell all shellsCCHTMLCSSPowerShellPythonSQLVBA,Microsoft SQL Server,Microsoft AzureVMware,ASPNETASPNET COREBlazor,Visual StudioVisual Studio Code,Windows,Windows,6,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,9,8,Student,BashShell all shellsCJavaOCamlSQL,H2MySQL,Google CloudOracle Cloud Infrastructure OCI,ASPNETASPNET CORESpring Boot,EclipseIPythonJupyter NotebookJupyterLabNotepadVisual StudioVisual Studio Code,Ubuntu,Ubuntu,-1,Unknown
Remote,Professional degree JD MD PhD EdD etc,10,6,Data scientist or machine learning specialist,Python,Databricks SQLDynamodbElasticsearchMongoDBMySQLNeo4JPostgreSQLSQLite,Amazon Web Services AWSGoogle CloudHetznerMicrosoft AzurePythonAnywhere,DjangoFastAPIFlask,Visual Studio Code,Windows,UbuntuWindows,-1,Unknown
Remote,Professional degree JD MD PhD EdD etc,8,7,Developer fullstack,HTMLCSSJavaScriptPythonRubySQLTypeScript,MongoDBPostgreSQL,Amazon Web Services AWSHeroku,jQueryRuby on RailsVuejs,VimVisual Studio Code,MacOS,MacOS,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,1,0,Developer fullstack,CHTMLCSSJavaJavaScriptPythonSQLTypeScript,MySQLPostgreSQLSQLite,FirebaseNetlify,DjangoExpressFlaskNextjsNodejsReact,IntelliJ IDEAVisual Studio,UbuntuWindows,Ubuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,9,7,Developer fullstack,HTMLCSSJavaScriptRubySQL,PostgreSQLRedisSQLite,Amazon Web Services AWSFlyioGoogle CloudRender,ReactRuby on Rails,RubyMine,AndroidUbuntu,MacOS,7,Software Development
Remote,Masters degree MA MS MEng MBA etc,15,12,Research  Development role,BashShell all shellsCPython,Unknown,Amazon Web Services AWSMicrosoft Azure,React,VimVisual Studio Code,MacOSUbuntuWindows,Ubuntu,16,Software Development
Remote,Bachelors degree BA BS BEng etc,22,15,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPythonRustTypeScript,MongoDBPostgreSQL,Amazon Web Services AWSDigital OceanFirebaseVercel,FastifyNextjsNodejsReact,Visual Studio Code,MacOS,MacOSUbuntu,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,22,14,Academic researcher,AssemblyCCHTMLCSSJavaScriptMATLABPythonSQLVBA,Microsoft SQL Server,Microsoft Azure,ASPNETASPNET CORE,Jupyter NotebookJupyterLabNotepadVisual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,14,Higher Education
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,10,7,Developer fullstack,CHTMLCSSJavaScriptSQLTypeScript,Cosmos DBElasticsearchMicrosoft SQL ServerMongoDBRedis,Microsoft Azure,AngularASPNETASPNET COREjQuery,Visual StudioVisual Studio Code,Windows,Windows,3,Software Development
Remote,Bachelors degree BA BS BEng etc,6,4,Unknown,CDartFortranGoJuliaPythonSQLVBA,BigQueryDuckDBMicrosoft SQL ServerMongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSGoogle CloudHerokuPythonAnywhere,DjangoFastAPIFlask,Android StudioNotepad,UbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,6,Energy
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,20,15,Developer embedded applications or devices,CC,Unknown,Unknown,Unknown,GeanyKateNanoNotepadVisual Studio,Debian,Windows,15,Software Development
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,25,15,System administrator,CrystalJuliaRRuby,Unknown,Unknown,Unknown,Vim,ArchMacOS,ArchMacOS,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,50,45,Developer desktop or enterprise applications,DelphiFortranSQL,FirebirdMicrosoft SQL ServerSQLite,Microsoft Azure,Unknown,Rad Studio Delphi C Builder,Windows,Windows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,11,4,Developer backend,JavaJavaScriptSQL,H2MariaDBMicrosoft SQL ServerMySQL,Amazon Web Services AWS,AngularSpring Boot,IntelliJ IDEAJupyter NotebookJupyterLabNotepadSublime TextVisual Studio Code,Windows,Windows,4,Software Development
Unknown,Some collegeuniversity study without earning a degree,6,0,Student,AssemblyCJavaJavaScriptPythonRust,MySQLPostgreSQLSQLite,HerokuRender,ASPNET COREDjangoFlask,IntelliJ IDEANeovimPyCharmRiderVisual Studio CodeXcode,MacOS,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,8,3,Developer fullstack,BashShell all shellsCGoHTMLCSSJavaScriptPowerShellPythonRustSQLTypeScriptVBA,BigQueryClickhouseCloud FirestoreCosmos DBMicrosoft SQL ServerMongoDBMySQLPostgreSQLSQLiteSupabase,CloudflareFirebaseGoogle CloudMicrosoft AzureSupabase,AngularASPNETASPNET CORENodejsReactSolidjs,Visual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,7,1,Developer fullstack,CHTMLCSSJavaJavaScriptPowerShellSQLTypeScript,CassandraMySQLOraclePostgreSQLSupabase,Oracle Cloud Infrastructure OCISupabase,AngularAngularJSNodejsSpring Boot,CLionDataGripFleetIntelliJ IDEAVim,WindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,8,6,Developer fullstack,CHTMLCSSJavaScriptSQL,Microsoft SQL ServerRedis,Unknown,ASPNET COREjQuery,NotepadVisual StudioVisual Studio Code,Windows,Windows,6,Fintech
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,18,8,Developer backend,CHTMLCSSJavaScriptKotlinLuaPowerShellPythonSQLTypeScript,Cloud FirestoreMariaDBMySQLRedisSQLite,CloudflareGoogle CloudManaged Hosting,ExpressjQueryLaravelNodejs,Android StudioIntelliJ IDEAJupyter NotebookJupyterLabNotepadVisual StudioVisual Studio Code,Windows,Windows Subsystem for Linux WSL,8,Software Development
Inperson,Professional degree JD MD PhD EdD etc,29,24,Other please specify,CGoPythonSQL,DuckDBSQLite,Unknown,Unknown,Jupyter NotebookJupyterLabPyCharmVisual Studio Code,MacOSUbuntuWindows Subsystem for Linux WSL,Windows,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,4,-1,Developer fullstack,CJavaScriptLua,MongoDBMySQLPostgreSQL,CloudflareNetlifyOracle Cloud Infrastructure OCI,ASPNET COREExpress,Visual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,6,2,Developer backend,Python,PostgreSQLSQLite,Unknown,FastAPI,Visual Studio Code,MacOS,MacOS,1,Other
Unknown,Some collegeuniversity study without earning a degree,4,-1,Student,CCHTMLCSSJavaScriptPythonSQL,SQLite,Unknown,DjangoNodejs,CodeBlocksPyCharmVisual Studio Code,AndroidUbuntuWindows,Windows,-1,Unknown
Unknown,Masters degree MA MS MEng MBA etc,11,6,Developer backend,BashShell all shellsCJavaPowerShellPythonSQL,ElasticsearchH2Oracle,OpenShift,Unknown,EclipseNotepadVisual Studio Code,Windows,Red HatWindows,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,5,-1,Other please specify,AssemblyCGoHTMLCSSJavaScriptJuliaLispPHPPrologRustSQLTypeScript,Cloud FirestoreMySQLPostgreSQLSQLite,CloudflareFirebase,HtmxjQueryReact,CLionQt CreatorVim,Ubuntu,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,40,29,Developer backend,CJavaScriptSQLTypeScript,Microsoft SQL Server,Microsoft Azure,AngularAngularJSASPNETASPNET COREjQuery,Visual StudioVisual Studio Code,Windows,Windows,29,Higher Education
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,5,-1,Student,AssemblyCHTMLCSSJavaScript,Unknown,Unknown,Unknown,Visual Studio Code,AndroidWindows,ArchFedora,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,5,5,DevOps specialist,PowerShellRuby,Unknown,VMware,Unknown,VimVisual Studio Code,Red HatUbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,9,BankingFinancial Services
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,39,-1,Engineering manager,Java,PostgreSQL,Google Cloud,Spring Boot,EclipseEmacsIntelliJ IDEA,MacOS,MacOS,27,BankingFinancial Services
Unknown,Bachelors degree BA BS BEng etc,6,1,Student,AssemblyCCDartKotlinPHPSQL,MariaDB,Netlify,Laravel,Android StudioIntelliJ IDEAPhpStormVisual StudioVisual Studio Code,AndroidWindowsWindows Subsystem for Linux WSL,Unknown,-1,Unknown
Unknown,Masters degree MA MS MEng MBA etc,6,0,Student,AssemblyBashShell all shellsCCCDartHaskellJavaPythonSQL,MongoDBMySQLPostgreSQL,Unknown,Unknown,Jupyter NotebookJupyterLabVisual Studio Code,iOSiPadOSUbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,-1,-1,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPowerShellSQLTypeScript,Microsoft SQL Server,Microsoft Azure,AngularASPNETASPNET COREVuejs,NotepadRiderVimVisual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Unknown,Masters degree MA MS MEng MBA etc,15,15,Developer fullstack,BashShell all shellsHTMLCSSJavaJavaScriptKotlinPerlPythonSQLTypeScript,BigQueryCassandraCosmos DBDynamodbElasticsearchMariaDBMongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSGoogle CloudMicrosoft Azure,ExpressFastAPIFastifyjQueryNodejsReactSpring Boot,Android StudioIntelliJ IDEAJupyter NotebookJupyterLabPhpStormWebStorm,AndroidUbuntuWindowsWindows Subsystem for Linux WSL,AndroidDebianiOSMacOSRed HatUbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,8,Developer fullstack,CHTMLCSSJavaScriptSQLVisual Basic Net,Microsoft SQL Server,Microsoft Azure,ASPNETASPNET COREjQuery,NotepadVisual StudioVisual Studio Code,Windows,Windows,10,Software Development
Unknown,Some collegeuniversity study without earning a degree,2,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Windows,Unknown,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,30,30,Developer fullstack,CPowerShellSQL,Cosmos DBElasticsearchMicrosoft SQL ServerRedis,Microsoft Azure,ASPNETASPNET COREBlazorReact,NotepadRiderVisual StudioVisual Studio Code,AndroidWindows,AndroidWindows,31,Retail and Consumer Services
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,3,1,Data scientist or machine learning specialist,AssemblyBashShell all shellsCCHTMLCSSJavaJavaScriptPythonRSQLTypeScript,MongoDBMySQLSQLite,Microsoft AzureVMware,AngularAngularJSExpressFastAPIFlaskjQueryNodejs,IntelliJ IDEAIPythonJupyter NotebookJupyterLabNanoNeovimRStudioVisual Studio Code,MacOSWindows,Unknown,3,Software Development
Inperson,Professional degree JD MD PhD EdD etc,24,10,Developer desktop or enterprise applications,CPythonR,Unknown,PythonAnywhere,Flask,PyCharmQt CreatorRStudioVimVisual StudioVisual Studio Code,Windows,Windows,1,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,40,30,Developer fullstack,AdaAssemblyBashShell all shellsCCClojureCrystalDartElixirErlangFortranGoGroovyHaskellHTMLCSSJavaJavaScriptJuliaKotlinLispLuaOCamlPerlPowerShellPythonRRustScalaSQLTypeScriptZig,DuckDBInfluxDBMariaDBPostgreSQLSQLite,CloudflareDigital OceanPythonAnywhere,DenoFastAPIHtmxNextjsPhoenixReactRemixSvelteVuejs,BBEditCLionEmacsGolandIntelliJ IDEANanoPhpStormPyCharmRStudioSpacemacsSublime TextVimVisual Studio CodeWebStorm,iOSMacOS,UbuntuWindowsWindows Subsystem for Linux WSL,35,Manufacturing
Unknown,Some collegeuniversity study without earning a degree,4,-1,Designer,HTMLCSSJavaScript,MongoDB,FirebaseHerokuVMware,NodejsReact,Android StudioIntelliJ IDEANotepadSublime TextVimVisual Studio,AndroidUbuntuWindows,Unknown,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,31,25,Database administrator,GroovyHTMLCSSJavaJavaScriptPython,Unknown,Amazon Web Services AWS,ReactVuejs,EclipseIntelliJ IDEANotepadVisual Studio Code,MacOSRed HatWindows,MacOSRed HatWindows,25,Software Development
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,10,5,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPythonSQLTypeScript,MariaDBMicrosoft SQL ServerMySQLPostgreSQLSQLite,Digital OceanFirebaseGoogle CloudVMware,FlaskNodejsReactWordPress,Android StudioNanoVimVisual Studio Code,ArchDebianMacOSOther LinuxbasedUbuntu,ArchDebianMacOSOther LinuxbasedUbuntu,5,Software Development
Remote,Bachelors degree BA BS BEng etc,30,24,Developer fullstack,BashShell all shellsHTMLCSSJavaJavaScriptPythonSQL,ElasticsearchPostgreSQL,Amazon Web Services AWSCloudflareDigital Ocean,DjangoHtmxSpring BootVuejsWordPress,IntelliJ IDEANotepadPyCharmVisual Studio CodeWebStorm,Windows,Other LinuxbasedUbuntuWindows Subsystem for Linux WSL,28,Government
Remote,Bachelors degree BA BS BEng etc,42,26,Engineering manager,CJavaScriptTypeScript,Unknown,Microsoft Azure,Unknown,Visual StudioVisual Studio CodeXcode,UbuntuWindowsWindows Subsystem for Linux WSL,MacOSUbuntuWindowsWindows Subsystem for Linux WSL,26,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,20,10,Developer desktop or enterprise applications,CPowerShellRust,Microsoft SQL Server,Unknown,ASPNET CORE,NotepadVisual StudioVisual Studio Code,Windows,Windows,10,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,12,9,Developer fullstack,GoHTMLCSSJavaScriptPythonTypeScript,DynamodbPostgreSQLSQLite,Amazon Web Services AWS,NextjsNodejsReactSvelte,Visual Studio Code,DebianOther LinuxbasedUbuntuWindows,DebianMacOSOther LinuxbasedUbuntu,13,Software Development
Remote,Masters degree MA MS MEng MBA etc,34,20,DevOps specialist,CPython,PostgreSQLSQLite,Unknown,DjangoFastAPIFlask,NanoSublime TextVimVisual Studio Code,UbuntuWindows,UbuntuWindows,30,Computer Systems Design and Services
Remote,Some collegeuniversity study without earning a degree,15,4,Developer backend,BashShell all shellsCCGoJavaScriptPython,Unknown,Unknown,Unknown,BBEditIntelliJ IDEA,Debian,DebianWindowsWindows Subsystem for Linux WSL,5,Internet Telecomm or Information Services
Unknown,Bachelors degree BA BS BEng etc,19,12,Developer desktop or enterprise applications,CCHTMLCSSJavaScriptKotlinLuaPowerShellSQL,MySQLSQLite,Unknown,ASPNETExpressNodejsReact,Android StudioSublime TextVisual Studio,AndroidChromeOSWindows,Windows,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,4,-1,Other please specify,SQL,Microsoft SQL Server,Unknown,Unknown,Unknown,ChromeOS,Unknown,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,40,29,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPowerShellPythonSQLTypeScript,Cosmos DBMicrosoft SQL ServerPostgreSQLRedis,Microsoft Azure,ASPNET COREExpressFastAPINodejsVuejs,Visual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,29,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,12,9,Developer fullstack,HTMLCSSPythonRust,PostgreSQLSQLite,Unknown,Django,Neovim,Arch,Arch,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,20,20,Developer fullstack,CHTMLCSSJavaScriptSQLVBAVisual Basic Net,MariaDBMicrosoft AccessMicrosoft SQL ServerMySQL,Unknown,ASPNET COREBlazorjQuery,Visual Studio,Windows,Windows,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,2,-1,Security professional,CCHTMLCSSJavaJavaScriptPHPSQLVisual Basic Net,ElasticsearchMySQLOracle,Managed HostingVMware,ASPNETCodeIgniterNodejsWordPress,NanoNetbeansNotepadSublime TextVimVisual StudioVisual Studio Code,DebianUbuntuWindowsWindows Subsystem for Linux WSL,DebianUbuntuWindowsWindows Subsystem for Linux WSL,3,Higher Education
Unknown,Some collegeuniversity study without earning a degree,2,-1,Designer,Python,Unknown,Unknown,Unknown,Sublime Text,Windows,Windows,-1,Unknown
Unknown,Primaryelementary school,7,-1,Student,BashShell all shellsCCCHTMLCSSJavaScriptPHPPythonRustSQLTypeScript,MySQLPostgreSQLSQLite,Unknown,Svelte,CLionIPythonNeovimVisual StudioVisual Studio CodeVSCodium,ArchFedoraWindows,ArchFedoraWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,40,37,Senior Executive CSuite VP etc,CCGroovyHTMLCSSJavaJavaScriptPHPPythonSQL,DynamodbElasticsearchMariaDBMySQLPostgreSQL,Amazon Web Services AWSMicrosoft Azure,AngularAngularJSDjangoNextjsNodejs,IntelliJ IDEAVimWebStorm,Ubuntu,Ubuntu,37,Computer Systems Design and Services
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,4,Developer fullstack,GDScriptJavaScriptPHP,MySQL,Unknown,AngularJS,Visual Studio Code,Windows,Ubuntu,4,Transportation or Supply Chain
