modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,5,0,Research  Development role,GroovyHTMLCSSJavaJavaScriptMicroPythonPowerShellPythonTypeScript,Unknown,Unknown,Svelte,Visual Studio Code,UbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,2,Higher Education
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,6,5,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPHPSQLTypeScript,MySQLPostgreSQL,Amazon Web Services AWSDigital OceanRender,AngularLaravelReactVuejs,PhpStormVisual Studio CodeXcode,AndroidiOSMacOS,AndroidiOSMacOS,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,7,5,Developer fullstack,CCHTMLCSSJavaScriptKotlinPowerShellPythonSQL,MySQLNeo4J,HerokuVultr,Unknown,Android StudioEclipseIntelliJ IDEAPyCharmVisual StudioVisual Studio CodeVSCodium,UbuntuWindows,Unknown,4,Software Development
Hybrid some remote some inperson,Something else,30,20,Other please specify,BashShell all shellsCCGoPythonSQL,MariaDBPostgreSQLSolrSQLite,Managed Hosting,DjangoFastAPIFlask,IPythonJupyter NotebookJupyterLabKateNanoQt CreatorSublime TextVim,DebianiOSMacOSUbuntu,DebianiOSMacOSUbuntu,20,Other
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,9,4,Developer backend,C,ElasticsearchMicrosoft SQL ServerMongoDBRedis,Amazon Web Services AWS,ASPNET CORE,Visual StudioVisual Studio Code,Windows,UbuntuWindows,4,Internet Telecomm or Information Services
Hybrid some remote some inperson,Associate degree AA AS etc,39,37,Developer fullstack,AdaCObjectiveCSwift,Unknown,Unknown,Unknown,Xcode,iOSiPadOSMacOS,iOSiPadOSMacOS,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,19,13,Developer fullstack,DartHTMLCSSJavaScriptPHPSQL,MySQLPostgreSQLSQLite,Amazon Web Services AWSMicrosoft Azure,AngularJSCodeIgniterjQueryLaravelReactSvelteSymfonyVuejsWordPressYii 2,Android StudioEclipseNotepadVisual Studio Code,UbuntuWindows,UbuntuWindows,13,Software Development
Hybrid some remote some inperson,Associate degree AA AS etc,2,2,System administrator,BashShell all shellsHTMLCSSJavaScriptPHPPowerShellSQL,MariaDBMySQL,Amazon Web Services AWSFirebase,DrupalWordPress,NanoVisual StudioVisual Studio Code,iOSiPadOSMacOS,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,37,19,Developer frontend,HTMLCSSJavaScriptTypeScript,Unknown,Google Cloud,AngularExpressNodejsReact,IntelliJ IDEAVisual Studio Code,Windows,MacOSUbuntuWindows,17,Software Development
Inperson,Masters degree MA MS MEng MBA etc,15,10,Developer frontend,HTMLCSSJavaScriptTypeScript,Unknown,Unknown,AngularjQueryNodejs,Visual Studio Code,Windows,Windows,10,Software Development
